一	〔一一｜yiaa〕
乙	〔フフ｜yivv〕
二	〔一一｜eraa〕
十	〔一丨｜uial〕
丁	〔一丨｜dkal・vgal〕
厂	〔一ノ｜ihap〕
七	〔一フ｜qiav〕
卜	〔丨丶｜bold・buld〕
八	〔ノㄟ｜bapn〕
人	〔ノㄟ｜rfpn〕
入	〔ノㄟ｜rupn〕
儿	〔ノフ｜erpv〕
九	〔ノフ｜jqpv〕
匕	〔ノフ｜bipv〕
几	〔ノフ｜jipv〕
了	〔フ丨｜levl・lnvl〕
乃	〔フノ｜ndvp〕
刀	〔フノ｜dcvp〕
力	〔フノ｜livp〕
又	〔フㄟ｜yzvn〕
乜	〔フフ｜mpvv・npvv〕
三	〔一二｜sjae〕
干	〔一十｜gjau〕
亍	〔二丨｜iuad・iuel〕
于	〔一丨｜yual〕
亏	〔二フ｜kvev〕
士	〔十一｜uiua〕
土	〔十一｜tuua〕
工	〔一一｜gsaa〕
才	〔一ノ｜cdap〕
下	〔一卜｜xxab〕
寸	〔一丶｜cyad〕
丈	〔一ㄟ｜vhan〕
大	〔ㄟ｜daun・ddun〕
兀	〔一儿｜wuae〕
与	〔一一｜yuaa〕
万	〔一ノ｜wjap・moap〕
弋	〔一丶｜yiad〕
上	〔丨一｜uhla〕
小	〔丨丶｜xnld〕
口	〔丨一｜kzla〕
山	〔丨凵｜ujlk〕
巾	〔丨丨｜jbll〕
千	〔ノ十｜qmpu〕
乞	〔ノフ｜qipv〕
川	〔ノ丨｜irpl〕
亿	〔亻フ｜yirv〕
彳	〔ノ亻｜iipr〕
个	〔人丨｜gerl〕
么	〔ノ厶｜meps・mops〕
久	〔ノㄟ｜jqpn〕
勺	〔勹丶｜ucbd〕
丸	〔ノ丶｜wjpd〕
夕	〔ノ丶｜xipd〕
凡	〔几丶｜fjjd〕
及	〔ノㄟ｜jipn〕
广	〔亠ノ｜gldi・glwp〕
亡	〔亠フ｜whwv〕
门	〔丶フ｜mfdv〕
丫	〔丷丨｜yabl〕
义	〔丶乂｜yidx〕
之	〔丶ㄟ｜vidn〕
尸	〔フノ｜uivp〕
已	〔フフ｜yivv〕
巳	〔フフ｜sivv〕
弓	〔フフ｜gsvv〕
己	〔フフ｜jivv〕
卫	〔卩一｜wwea・wwva〕
孑	〔フ一｜jpva〕
子	〔フ一｜ziva〕
孓	〔フㄟ｜jtvn〕
也	〔フフ｜yevv〕
女	〔フ一｜nvva〕
飞	〔フ丶｜fwvd〕
刃	〔刀丶｜rfdd〕
习	〔フ冫｜xivd〕
叉	〔又丶｜iayd〕
马	〔フ一｜mava〕
乡	〔フノ｜xlvp〕
幺	〔フ厶｜ycvs〕
丰	〔一丨｜fgal〕
王	〔一土｜what〕
井	〔一丨｜jkal〕
开	〔一廾｜kdac〕
亓	〔二丨｜qiel〕
夫	〔一ㄟ｜fuan〕
天	〔一大｜tmad〕
元	〔二儿｜yree〕
无	〔一尢｜moay・wuay〕
韦	〔一丨｜wwal〕
云	〔二厶｜yyes〕
专	〔一丶｜vrad〕
丐	〔一フ｜gdav〕
扎	〔扌フ｜vafv・zafv〕
廿	〔艹一｜nmca〕
艺	〔艹フ｜yicv〕
木	〔十ㄟ｜muun〕
五	〔一一｜wuaa〕
支	〔十又｜viuy〕
厅	〔厂丁｜tkid〕
卅	〔一丨｜saal〕
不	〔一丶｜buad〕
仄	〔厂人｜zeir〕
太	〔大丶｜tddd〕
犬	〔大丶｜qrdd〕
区	〔匚乂｜oukx・qukx〕
历	〔厂力｜liil〕
友	〔又｜yzuy〕
歹	〔一夕｜ddax〕
尤	〔尢丶｜yzyd〕
匹	〔匚儿｜pike〕
厄	〔厂フ｜eeiv〕
车	〔一丨｜ieal・jual〕
巨	〔匚一｜juka〕
牙	〔一ノ｜yaap〕
屯	〔一フ｜tyav・vyav〕
戈	〔一丶｜gead〕
比	〔比左匕｜bibb〕
互	〔一一｜huaa〕
切	〔七刀｜qpqd〕
瓦	〔一丶｜waad〕
止	〔丨一｜vila〕
少	〔小ノ｜ucxp〕
曰	〔囗一｜ytka〕
日	〔囗一｜rika〕
中	〔丨丨｜vsll〕
贝	〔冂人｜bwkr〕
内	〔丨丶｜nwld〕
水	〔丨ㄟ｜uvln〕
冈	〔冂乂｜ghkx〕
见	〔冂见下｜jmke〕
手	〔ノ丨｜uzpl〕
午	〔ノ干｜wupg〕
牛	〔ノ丨｜nqpl〕
毛	〔ノフ｜mcpv〕
气	〔ノフ｜qipv〕
壬	〔千一｜rfqa・rfpu〕
升	〔ノ廾｜ugpc〕
夭	〔ノ大｜ycpd〕
长	〔ノㄟ｜ihpn・vhpn〕
仁	〔亻二｜rfre〕
仃	〔亻丁｜dkrd〕
什	〔亻十｜uiru・ufru〕
片	〔ノフ｜pmpv〕
仆	〔亻卜｜purb〕
仉	〔亻几｜vhrj〕
化	〔亻匕｜hxrb〕
仇	〔亻九｜izrj・qqrj〕
币	〔ノ巾｜bipj〕
仂	〔亻力｜lerl〕
仍	〔亻乃｜rgrn〕
仅	〔亻又｜jbry〕
斤	〔ノ丨｜jbpl〕
爪	〔ノㄟ｜vcpn・vxpn〕
反	〔ノ又｜fjpy〕
兮	〔八フ｜xibv〕
刈	〔乂刂｜yixd〕
介	〔人丨｜jprl〕
父	〔八乂｜fubx〕
爻	〔乂乂｜ycxx〕
从	〔人人｜csrr〕
仑	〔人匕｜lyrb〕
今	〔人フ｜jbrv〕
凶	〔乂凵｜xsxk〕
分	〔八刀｜ffbd〕
乏	〔ノ之｜fapv〕
公	〔八厶｜gsbs〕
仓	〔人フ｜chrv〕
月	〔冂一｜ytka〕
氏	〔ノフ｜uipv〕
勿	〔勹ノ｜wubp〕
风	〔几乂｜fgjx〕
欠	〔人｜qmdr〕
丹	〔ノ一｜djpa〕
匀	〔勹冫｜yybd〕
乌	〔ノ一｜wupa〕
勾	〔勹厶｜gzbs〕
殳	〔几又｜uujy〕
凤	〔几又｜fgjy〕
卞	〔丶下｜bmdx〕
六	〔亠八｜lqwb・luwb〕
文	〔亠乂｜wfwx〕
亢	〔亠几｜khwj〕
方	〔丶万｜fhdw〕
闩	〔门一｜urma〕
火	〔丶人｜hodr〕
为	〔丶丶｜wwdd〕
斗	〔丶十｜dzdu〕
忆	〔忄フ｜yixv〕
计	〔讠十｜jiyu〕
订	〔讠丁｜dkyd〕
户	〔丶尸｜hudu〕
讣	〔讠卜｜fuyb〕
认	〔讠人｜rfyr〕
讥	〔讠几｜jiyj〕
冗	〔冖几｜rsbj〕
心	〔丶丶｜xbdd〕
尹	〔フノ｜ybvp〕
尺	〔尸ㄟ｜iiun〕
夬	〔フㄟ｜gkvn〕
引	〔弓丨｜ybgl〕
丑	〔フ一｜izva〕
爿	〔フノ｜pjvp〕
巴	〔巳sì丨｜basl〕
孔	〔子フ｜kszv〕
队	〔阝人｜dver〕
办	〔力丶｜bjld〕
以	〔フ人｜yivr〕
允	〔厶儿｜yyse〕
邓	〔又阝｜dgye〕
予	〔丨｜yusl〕
劝	〔又力｜qryl〕
双	〔又又｜ulyy〕
书	〔フ丶｜uuvd〕
毋	〔フ一｜wuva〕
幻	〔幺フ｜hryv〕
玉	〔王丶｜yuwd〕
刊	〔干刂｜kjgd〕
末	〔一ㄟ｜moan〕
未	〔一ㄟ｜wwan〕
示	〔二小｜uiex〕
击	〔一凵｜jiak〕
